frequency_hz,time_s,flux_1d_cgs,flux_2d_cgs,ratio_2d_over_1d
2.418000000000e+17,3.281927872511e+03,2.6244044627872926e-25,1.1759827706641373e-25,4.4809509636908829e-01
2.418000000000e+17,4.417344703140e+03,1.8758600663805710e-25,8.5110343481556653e-26,4.5371371248269660e-01
2.418000000000e+17,5.945570708544e+03,1.3371750224316739e-25,6.1321990811612090e-26,4.5859360056020998e-01
2.418000000000e+17,8.002502278161e+03,9.5114134664170805e-26,4.3969348762339396e-26,4.6227985900924684e-01
2.418000000000e+17,1.077105056037e+04,6.7420469367490232e-26,3.1323280474916035e-26,4.6459600131499446e-01
2.418000000000e+17,1.449740670373e+04,4.7528379058191239e-26,2.2042178049409546e-26,4.6376877322961652e-01
2.418000000000e+17,1.951293422636e+04,3.2992801237877440e-26,1.5070094483649497e-26,4.5676917140179807e-01
2.418000000000e+17,2.626363527653e+04,2.1994923853689610e-26,9.7118374017228366e-27,4.4154903496488773e-01
2.418000000000e+17,3.534981105030e+04,1.3615921971673174e-26,5.7613412186909348e-27,4.2313265533372912e-01
2.418000000000e+17,4.757944314009e+04,7.7443417178174482e-27,3.1750421013356575e-27,4.0998218015494087e-01
2.418000000000e+17,6.404004271197e+04,4.1563702453097201e-27,1.6772033525463859e-27,4.0352597424135533e-01
2.418000000000e+17,8.619535664753e+04,2.1749031483338517e-27,8.7296349791101888e-28,4.0138040104442269e-01
2.418000000000e+17,1.160155301740e+05,1.1322156896497250e-27,4.5453215670297247e-28,4.0145368135959292e-01
2.418000000000e+17,1.561523006000e+05,5.9255281501518808e-28,2.3824682877880101e-28,4.0206851227716195e-01
2.418000000000e+17,2.101748011332e+05,3.1238768946829042e-28,1.2595415300584187e-28,4.0319819651096434e-01
2.418000000000e+17,2.828869434626e+05,1.6614847052629220e-28,6.7168005518878518e-29,4.0426496437864895e-01
2.418000000000e+17,3.807546021222e+05,8.9107404814326523e-29,3.6114847308425407e-29,4.0529569213330885e-01
2.418000000000e+17,5.124805876961e+05,4.8128191611104276e-29,1.9568246741486923e-29,4.0658595485171067e-01
2.418000000000e+17,6.897785379388e+05,2.6192937754121925e-29,1.0681320444577238e-29,4.0779390784053393e-01
2.418000000000e+17,9.284145445195e+05,1.4345827795875917e-29,5.8712675333129484e-30,4.0926655588329297e-01
2.418000000000e+17,1.249609141292e+06,7.9136449993091754e-30,3.2496614406405461e-30,4.1064028534565633e-01
2.418000000000e+17,1.681924324881e+06,4.3943511260458836e-30,1.8107465935272450e-30,4.1206233675655030e-01
2.418000000000e+17,2.263803409521e+06,2.4574296486986379e-30,1.0156956601947608e-30,4.1331627163065887e-01
2.418000000000e+17,3.046989570904e+06,1.3827897817558143e-30,5.7341781716631348e-31,4.1468184443640388e-01
2.418000000000e+17,4.101127070551e+06,7.8339769815433456e-31,3.2581728195267788e-31,4.1590278184413265e-01
2.418000000000e+17,5.519954321282e+06,4.4752703697328495e-31,1.8623999481816013e-31,4.1615361627699310e-01
2.418000000000e+17,7.429639507595e+06,2.5769624328732680e-31,1.0712685556843305e-31,4.1570980702651722e-01
2.418000000000e+17,1.000000000000e+07,1.4936049816550608e-31,6.1999855619174318e-32,4.1510209446725599e-01
